CVX Code,Name
83,HepA ped/adol 2 dose
84,HepA pediatric/adolescent (3
"",dose)
31,HepA pediatric NOS
52,HepA adult
85,HepA NOS
104,HepA-HepB (Twinrix)
CVX,Name
Code,
08,HepB peds <20yrs
42,HepB high risk infant
45,HepB NOS
43,HepB adult =>20yrs
44,HepB-dialysis
51,Hib/HepB (Comvax)
102,DTP-Hib-HepB
110,DTaP-HepB-IPV (Pediarix)
104,HepA-HepB (Twinrix)
132,"DTaP-IPV-Hib-HepB, historical"
146,"DTaP, IPV, Hib, Hep B"
189,"Hep B, adjuvanted"
198,DTP-Hep B-Hib Pentavalent
"",Non-US
220,"HepB recombinant, 3-antigen, Al(OH)3"
CVX,Name
Code,
03,MMR
05,Measles
06,Rubella
07,Mumps
04,Measles/Rubella
38,Mumps/Rubella
94,MMR-Varicella
CVX,Name
Code,
21,Varicella
94,MMR-Varicella
CVX,Name
Code,
116,"Rotavirus RV5 (RotaTeq, 3 dose)"
119,"Rotavirus RV1 (Rotarix, 2 dose)"
122,Rotavirus NOS
74,Rotavirus
CVX,Name
Code,
46,Hib-PRP-D (ProHIBIT)
47,Hib-HbOC (HibTITER)
48,"Hib-PRP-T (ActHIB, Hiberix)",
49,Hib-PRP-OMP (PedvaxHIB),
17,Hib NOS,
50,DTaP-Hib (TriHiBit),
51,Hep B-Hib (PRP-OMP (ComVAX),
120,DTaP-Hib (PRP-T)-IPV,
22,DTP-Hib  (Tetramune; OmniHib-DTP),
102,DTP-Hib-HepB,
132,"DTaP-IPV-Hib-HepB, historical",
146,DTaP-IPV-Hib-HepB,
148,Mening C&Y-Hib PRP-T (Menhibrix),(Only Hib component evaluated)
170,DTaP-IPV-Hib,
198,DTP-Hep B-Hib Pentavalent Non-US,
CVX,Name
Code,
62,HPV Quadrivalent (Gardasil)
118,HPV Bivalent (Cervarix)
137,HPV NOS
165,HPV9
CVX,Name
Code,
100,Pneumococcal Conjugate 7 valent (PCV 7)
133,Pneumococcal Conjugate 13 (PCV 13)
109,Pneumococcal NOS
152,Pneumoccocal Conjugate NOS
33,Pneumococcal Polysaccharide 23 valent
215,"Pneumococcal conjugate PCV15, polysaccharide CRM197 conjugate, adjuvant,"
"",PF
216,"Pneumococcal conjugate PCV20, polysaccharide CRM197 conjugate, adjuvant,"
"",PF
CVX Code,Name
15,"influenza, split"
16,"influenza, whole"
88,"influenza, unspecified formulation"
111,"influenza, live, intranasal"
135,"influenza, high dose, seasonal"
140,"influenza, seasonal, injectable, preservative free"
141,"influenza, seasonal, injectable"
144,"influenza, seasonal, intradermal, preservative free"
149,"influenza, live, intranasal, quadrivalent"
150,"influenza, injectable, quadrivalent, preservative free"
151,"influenza nasal, unspecified formulation"
153,"influenza, injectable, MDCK, preservative free"
155,"influenza, recombinant, injectable, preservative free"
158,"Influenza-IIV4, IM (>3yrs)"
161,"Influenza, injectable, quadrivalent, preservative free, pediatric"
166,"Influenza, intradermal, quadrivalent, preservative free, injectable"
168,"Seasonal trivalent influenza vaccine, adjuvanted, preservative free"
171,"Influenza, injectable, Madin Darby Canine Kidney, preservative free, quadrivalent"
185,"Influenza, recombinant, quadrivalent, injectable, preservative free"
186,"Influenza, injectable, MDCK, quadrivalent"
CVX Code,Name
194,"Influenza, Southern Hemisphere, unspecified formulation"
197,"Influenza, high dose, quadrivalent"
200,"Influenza, Southern Hemisphere, pediatric, preservative free"
201,"Influenza, Southern Hemisphere, preservative free"
202,"Influenza, Southern Hemisphere, quadrivalent, with preservative"
205,"Influenza, seasonal vaccine, quadrivalent, adjuvanted"
231,"Influenza, Southern Hemisphere, high-dose, quadrivalent"
320,"Influenza, MDCK, trivalent, preservative"
CVX Code,Name
125,"Novel Influenza-H1N1-09, nasal"
126,"Novel influenza-H1N1-09,preservative-free"
127,Novel influenza-H1N1-09
128,"Novel Influenza-H1N1-09, all formulations"
CVX Code,Name
114,meningococcal MCV4P (Menactra)
136,meningococcal MCV4O (Menveo)
32,meningococcal MPSV4 (Menomune)
108,"meningococcal, unspecified formulation"
147,"meningococcal MCV4, unspecified formulation"
CVX Code,Name
148,Mening C&Y-Hib PRP-T (Menhibrix)   (Only Hib component evaluated)
203,Meningococcal MenACW-TT (MenQuadfi)
316,Meningococcal MenABCWY (Penbraya)
CVX Code,Name,,
02,OPV,,
10,IPV,,
89,"polio, unspecified formulation",,
110,DTaP/HepB/IPV,,
120,DTaP/IPV/Hib,,
130,DTaP/IPV,,
132,,"DTaP-IPV-Hib-HepB, historical",
146,DTaP-IPV-Hib-HepB,,
"",DTaP-IPV-Hib-HepB,,
170,DTaP-IPV-Hib,,
"",DTaP-IPV-Hi,,
178,OPV bivalent,,
"",OPV bivalen,,
179,"OPV ,monovalent, unspecified (NOS)",,
"","OPV ,monovalent, unspecified (NOS)",,
182,"OPV, unspecified (NOS)",,
"OPV, unspecified (NOS",,,
DTaP-IPV-Hib-HepB
DTaP-IPV-Hib-HepB
DTaP-IPV-Hib
DTaP-IPV-Hi
OPV bivalent
OPV bivalen
"OPV ,monovalent, unspecified (NOS)"
"OPV ,monovalent, unspecified (NOS)"
CVX Code,Name
01,DTP
09,"Td (adult), absorbed"
CVX Code,Name
20,DTaP
22,DTP-Hib (Tetramune; OmniHib-DTP)
28,DT (pediatric)
50,DTaP-Hib (TriHiBit)
102,DTP-Hib-Hep B
106,"DTaP, 5 pertussis antigens"
107,"DTaP, unspecified formulation"
110,DTaP-Hep B-IPV (Pediarix)
113,Td (adult) preservative free
115,Tdap
120,DTaP-Hib-IPV (Pentacel)
130,DTaP-IPV
132,"DTaP-IPV-Hib-HepB, historical"
138,"Td (adult, not adsorbed)"
139,Td (adult) NOS
146,"DTaP, IPV, Hib, Hep B"
170,DTaP-IPV-Hib
198,DTP-Hep B-Hib Pentavalent Non-US
CVX Code,Name
121,"Zoster vaccine, live"
187,"Zoster vaccine, recombinant"
188,"Zoster vaccine, unspecified formulation (NOS)"
CVX Code,Name,,
162,,"Meningococcal B FHbp, recombinant (Trumenba",
163,"Meningococcal B 4C, OMV (Bexsero)",,
"","Meningococcal B 4C, OMV (Bexsero)",,
316,Meningococcal MenABCWY (Penbraya),,
"Meningococcal B 4C, OMV (Bexsero)"
"Meningococcal B 4C, OMV (Bexsero)"
CVX Code,Name,
207,,"COVID-19, mRNA, LNP-S, PF 100mcg/0.5 mL"
"",(Moderna,
208,"COVID-19, mRNA, LNP-S, PF 30 mcg/0.3 mL (Pfizer)",
"","COVID-19, mRNA, LNP-S, PF 30 mcg/0.3 mL (Pfizer",
210,"COVID-19 vaccine, vector-nr, rS-ChAdOx1, PF, 0.5 mL(AstraZeneca)",
"","COVID-19 vaccine, vector-nr, rS-ChAdOx1, PF, 0.5 mL",
"",(AstraZeneca,
211,"COVID-19 vaccine, Subunit, rS-nanoparticle+Matrix-M1Adjuvant, PF, 0.5 mL (Novavax)",
"","COVID-19 vaccine, Subunit, rS-nanoparticle+Matrix-M",
"","Adjuvant, PF, 0.5 mL (Novavax",
212,"COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL(Janssen)",
"","COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL",
"",(Janssen),
213,"COVID-19 vaccine, UNSPECIFIED",
"","COVID-19 vaccine, UNSPECIFIED",
217,"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose,tris-sucrose (Pfizer)",
"","COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose,",
"",tris-sucrose (Pfizer,
218,"COVID-19, mRNA, LNP-S, PF, 10 mcg/0.2 mL dose,tris-sucrose (Pfizer)",
"","COVID-19, mRNA, LNP-S, PF, 10 mcg/0.2 mL dose,",
"",tris-sucrose (Pfizer,
219,"Pfizer COVID-19 Vaccine (Preferable age range: >= 6months to < 5 years)",
"",Pfizer COVID-19 Vaccine (Preferable age range: >= 6,
"",months to < 5 years,
221,"Moderna COVID-19 Vaccine (Preferable age ranges:>= 6 years to < 12 years OR >= 18 years)",
"",Moderna COVID-19 Vaccine (Preferable age ranges,
"",>= 6 years to < 12 years OR >= 18 years),
227,Moderna COVID-19 Vaccine (Inactive),
"",Moderna COVID-19 Vaccine (Inactive,
228,"Moderna COVID-19 Vaccine (Preferable age range: >=6 months to < 6 years)",
Moderna COVID-19 Vaccine (Preferable age range: >,,
6 months to < 6 years,,
"COVID-19, mRNA, LNP-S, PF 30 mcg/0.3 mL (Pfizer)"
"COVID-19, mRNA, LNP-S, PF 30 mcg/0.3 mL (Pfizer"
"COVID-19 vaccine, vector-nr, rS-ChAdOx1, PF, 0.5 mL(AstraZeneca)"
"COVID-19 vaccine, vector-nr, rS-ChAdOx1, PF, 0.5 mL"
"(AstraZeneca"
"COVID-19 vaccine, Subunit, rS-nanoparticle+Matrix-M1Adjuvant, PF, 0.5 mL (Novavax)"
"COVID-19 vaccine, Subunit, rS-nanoparticle+Matrix-M"
"Adjuvant, PF, 0.5 mL (Novavax"
"COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL(Janssen)"
"COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL"
"(Janssen)"
"COVID-19 vaccine, UNSPECIFIED"
"COVID-19 vaccine, UNSPECIFIED"
"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose,tris-sucrose (Pfizer)"
"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose,"
tris-sucrose (Pfizer
"COVID-19, mRNA, LNP-S, PF, 10 mcg/0.2 mL dose,tris-sucrose (Pfizer)"
"COVID-19, mRNA, LNP-S, PF, 10 mcg/0.2 mL dose,"
tris-sucrose (Pfizer
"Pfizer COVID-19 Vaccine (Preferable age range: >= 6months to < 5 years)"
Pfizer COVID-19 Vaccine (Preferable age range: >= 6
months to < 5 years
"Moderna COVID-19 Vaccine (Preferable age ranges:>= 6 years to < 12 years OR >= 18 years)"
Moderna COVID-19 Vaccine (Preferable age ranges
">= 6 years to < 12 years OR >= 18 years)"
Moderna COVID-19 Vaccine (Inactive)
Moderna COVID-19 Vaccine (Inactive
CVX Code,Name
229,"Moderna COVID-19 Vaccine, Bivalent Booster"
"",(Preferable Age Range: > 6 years and < 12 years
"",(0.25mL dose); >= 12 years (0.5mL dose))
300,"Pfizer COVID-19 Vaccine, Bivalent Booster"
"",(Preferable Age Range: >= 12 years)
301,"Pfizer COVID-19 Vaccine, Bivalent Booster"
"",(Preferable Age Range: > 5 years and <= 12 years)
308,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, tris-sucrose, 6"
"","mos-4 yrs, Pfizer"
309,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, tris-sucrose,"
"","12+ yrs, Pfizer"
310,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, tris-sucrose,"
"","5-11 yrs, Pfizer"
311,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, 6 mos-11 yrs,"
"",Moderna
312,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, 12+ yrs,"
"",Moderna
313,"COVID-19, XBB.1.5, subunit, rS-nanoparticle,"
"","adjuvanted, PF, 12+ yrs, Novavax"
500,"COVID-19 Non-US Vaccine, Product Unknown"
501,COVID-19 IV Non-US Vaccine (QAZCOVID-IN)
502,COVID-19 IV Non-US Vaccine (COVAXIN)
503,COVID-19 LAV Non-US Vaccine (COVIVAC)
504,COVID-19 VVnr Non-US Vaccine (Sputnik Light)
505,COVID-19 VVnr Non-US Vaccine (Sputnik V)
506,COVID-19 VVnr Non-US Vaccine (CanSino Biological
"",Inc./Beijing Institute of Biotechnology)
507,COVID-19 PS Non-US Vaccine (Anhui Zhifei Longcom
"","Biopharm + Inst of Micro, Chinese Acad of Sciences)"
508,COVID-19 PS Non-US Vaccine (Jiangsu Province
"",Centers for Disease Control and Prevention)
509,COVID-19 PS Non-US Vaccine (EpiVacCorona)
CVX Code,Name
510,"COVID-19 IV Non-US Vaccine (BIBP, Sinopharm)"
511,"COVID-19 IV Non-US Vaccine (CoronaVac, Sinovac)"
512,"COVID-19 VLP Non-US Vaccine (Medicago, Covifenz)"
513,"COVID-19 PS Non-US Vaccine (Anhui Zhifei Longcom,"
"",Zifivax)
514,"COVID-19 DNA Non-US Vaccine (Zydus Cadila,"
"",ZyCoV-D)
515,"COVID-19 PS Non-US Vaccine (Medigen,"
"",MVC-COV1901)
516,COVID-19 Inactivated Non-US Vaccine (Minhai
"","Biotechnology Co, KCONVAC)"
517,"COVID-19 PS Non-US Vaccine (Biological E Limited,"
"",Corbevax)
518,"COVID-19 Inactivated, Non-US Vaccine (VLA2001,"
"",Valneva)
519,"COVID-19 mRNA, bivalent, original/Omicron BA.1,"
"","Non-US Vaccine (Spikevax Bivalent), Moderna"
520,"COVID-19 mRNA, bivalent, original/Omicron BA.1,"
"","Non-US Vaccine Product, Pfizer-BioNTech"
521,"COVID-19 SP, protein-based, adjuvanted (VidPrevtyn"
"","Beta), Sanofi-GSK"
CVX Code,Name
75,vaccinia (smallpox) vaccine (ACAM2000)
105,"vaccinia (smallpox) vaccine, diluted (Inactive; not"
"",preferred)
CVX Code,Name,
206,,"Vaccinia, smallpox monkeypox vaccine live, PF"
"(JYNNEOS",,
