,Group code = 200
1,DTP
9,"Td (adult), absorbed"
20,DTaP
22,DTP-Hib (Tetramune; OmniHib-DTP)
28,DT (pediatric)
50,DTaP-Hib (TriHiBit)
102,DTP-Hib-Hep B
106,"DTaP, 5 pertussis antigens"
107,"DTaP, unspecified formulation"
110,DTaP-Hep B-IPV (Pediarix)
113,Td (adult) preservative free
115,Tdap
120,DTaP-Hib-IPV (Pentacel)
130,DTaP-IPV
132,"DTaP-IPV-Hib-HepB, historical"
138,"Td (adult, not adsorbed)"
139,Td (adult) NOS
146,"DTaP, IPV, Hib, Hep B"
170,DTaP-IPV-Hib
198,DTP-Hep B-Hib Pentavalent Non-US